location,lat,long,alt,year,bloom_date,bloom_doy,avg_bloomdoy,sd_bloomdoy,early_bloom,avg_tmax_Jan,avg_tmax_Feb,avg_tmax_Dec,sd_tmax_Jan,sd_tmax_Feb,sd_tmax_Dec
Kyoto,35.0119831,135.6761135,44,1960,1960-04-04,95,98.7,3.743141876967945,no,9.27741935483871,11.889655172413793,12.596774193548386,3.333837596266436,3.7846819858463863,3.599674417774265
Kyoto,35.0119831,135.6761135,44,1961,1961-04-09,99,98.8,3.73571352696584,no,7.854838709677419,8.65,11.603225806451613,1.7239177686648164,2.6652079343520896,3.1466896755127434
Kyoto,35.0119831,135.6761135,44,1962,1962-04-12,102,98.5,3.2744804507314167,no,8.458064516129033,10.739285714285714,12.209677419354838,2.74660689986128,3.372035244940612,3.349463125010701
Kyoto,35.0119831,135.6761135,44,1963,1963-04-11,101,98.5,3.2744804507314167,no,6.196774193548387,7.2,12.438709677419356,1.784467029856579,2.135589085180185,2.0768048246212
Kyoto,35.0119831,135.6761135,44,1964,1964-04-08,99,98.6,3.272783388968954,no,9.745161290322581,7.520689655172414,12.40967741935484,2.2817885834986873,2.223957108775904,2.7745696169207545
Kyoto,35.0119831,135.6761135,44,1965,1965-04-20,110,99.9,4.794672969962486,no,8.487096774193548,9.185714285714285,12.019354838709678,2.5695319853342773,3.1181326659960003,2.1956653289058283
Kyoto,35.0119831,135.6761135,44,1966,1966-04-07,97,99.7,4.877385456255112,no,8.319354838709678,11.696428571428571,10.35483870967742,3.077056965656059,3.6352677972429976,3.077427357353045
Kyoto,35.0119831,135.6761135,44,1967,1967-04-07,97,99.1,4.794672969962486,no,8.593548387096774,9.564285714285715,9.970967741935484,3.5756524331344965,3.253854043678994,2.886889161754927
Kyoto,35.0119831,135.6761135,44,1968,1968-04-08,99,99.1,4.794672969962486,no,8.270967741935484,7.706896551724138,9.929032258064517,2.347508402311849,2.6053421813215625,2.6484201011656108
Kyoto,35.0119831,135.6761135,44,1969,1969-04-11,101,100,4.109609335312651,no,9.19032258064516,9.264285714285714,13.6,3.106375684374496,3.973263821699409,3.520890038991088
Kyoto,35.0119831,135.6761135,44,1970,1970-04-17,107,101.2,4.237399621885521,no,8.667741935483871,10.475,10.835483870967742,2.675492116324795,4.233869169937606,2.731244940449535
Kyoto,35.0119831,135.6761135,44,1971,1971-04-08,98,101.1,4.306326095924976,no,8.735483870967743,9.314285714285715,10.912903225806451,2.462999308038443,2.7995653479720986,2.5000989227740398
Kyoto,35.0119831,135.6761135,44,1972,1972-04-08,99,100.8,4.3410188256265885,no,11.248387096774193,9.975862068965517,12.119354838709677,2.2498697692299046,2.4296759296566095,2.881946027118795
Kyoto,35.0119831,135.6761135,44,1973,1973-04-07,97,100.4,4.501851470969102,no,10.225806451612904,11.371428571428572,12.216129032258065,2.420188386873425,3.4300261464133714,2.737041806305188
Kyoto,35.0119831,135.6761135,44,1974,1974-04-09,99,100.4,4.501851470969102,no,7.451612903225807,8.832142857142857,9.432258064516128,2.249573436267705,3.942649379159162,1.9765942252224649
Kyoto,35.0119831,135.6761135,44,1975,1975-04-10,100,99.4,2.988868236194653,no,8.248387096774193,7.789285714285715,10.416129032258064,2.5960060307765,3.149407855656336,1.690581117879007
Kyoto,35.0119831,135.6761135,44,1976,1976-04-08,99,99.6,2.8751811537130436,no,8.432258064516128,10.96896551724138,11.07741935483871,3.1048764974659027,3.7672558645210805,2.963073818117413
Kyoto,35.0119831,135.6761135,44,1977,1977-04-03,93,99.2,3.4896672875473067,yes,6.8032258064516125,8.167857142857143,10.603225806451613,2.2265794200922846,4.607244984717695,3.1499718380717567
Kyoto,35.0119831,135.6761135,44,1978,1978-04-14,104,99.7,3.802046232695699,no,8.851612903225806,7.8464285714285715,12.664516129032258,3.253702605519025,2.771880247380847,2.842481121262054
Kyoto,35.0119831,135.6761135,44,1979,1979-04-07,97,99.3,3.8600518131237567,no,11.006451612903225,11.975,12.619354838709677,3.0191539083956362,2.7158826407852232,3.6891208848756647
Kyoto,35.0119831,135.6761135,44,1980,1980-04-11,102,98.8,2.973961069759395,no,8.419354838709678,8.275862068965518,12.551612903225806,3.0430707467774183,2.0897120738810258,2.904808767973311
Kyoto,35.0119831,135.6761135,44,1981,1981-04-09,99,98.9,2.960855732160327,no,6.6,8.15,9.674193548387096,1.591225942473287,3.1922939621439537,3.408515585210614
Kyoto,35.0119831,135.6761135,44,1982,1982-04-03,93,98.3,3.497618237219913,yes,8.561290322580644,8.67142857142857,10.570967741935483,3.047039811506116,2.774601358468041,2.8515719113484406
